Node0_title {惊喜}
Dialog_Alonso_repeat_text {怎么样，船长，跟大家都聊过了？准备开始正式环节了吗，要我敲钟吗？}
Dialog_Alonso_repeat_l2 {对，开始吧！}
Dialog_Longway_initial_text {$rand($name船长，龙威向您道贺。愿天上护着您的路，海也善待您的船。|龙威祝您长寿，船长大人。愿每过一年，您的心更坚，您的手更稳。|$name船长，今天是好日子。龙威很高兴在这里，也祝您多多幸福。|龙威不擅长说漂亮话，船长大人。但龙威祝您健康、好运，还有忠心的人陪在身边。|生日快乐，船长大人。愿风永远记得您的名字，把船带去胜利等着的地方。|$name船长，龙威感谢命运，把他带到您的船上。祝您长命，也走在正确的路上。|今天是您的日子，船长大人。龙威愿忧愁绕着您走，欢喜自己找到路来见您。|龙威真心向您道贺。愿您的家就在有忠朋友、平静海面和好酒的地方。|船长大人，您为龙威做了很多。今天龙威祝您得到多少好，就像您给别人多少好。|生日快乐，$name船长。愿天看见您的荣誉，在每个艰难时辰都送您好运。)}
Dialog_Longway_initial_l1 {$rand(谢谢你，$npcName。我很高兴。|多谢你，$npcName。听你这么说，我很受用。|谢谢你。你的好话很有分量，$npcName。|多谢，$npcName。我是真的很高兴。|谢谢你，$npcName。祝词说得真好。|谢谢。我记着你的这份心意，$npcName。|谢谢你的暖心话，$npcName。|谢谢你，$npcName。真是打从心底里高兴。|谢谢。你能在这儿，我很高兴，$npcName。|多谢你，$npcName。能和自己人一起过这一天，真不错。)}
Dialog_Irons_initial_text {$rand(生日快乐，唠叨船长。别耷拉脸，我这是喜欢你才这么说。长命百岁，先开枪，别让那些耗子坏了你的兴致。|$name船长，恭喜啊！真没想到我会把这话说出口，不过跟你在一起还真不无聊。对我来说，这都快算最高夸奖了，嘿嘿。|节日快乐，船长。祝你好运，脑袋够硬，身边还有一帮听见第一枪也不会撒腿就跑的人。|怎么样，船长，生日快乐！愿今天没人撒谎，没人背叛，也没人碍你的事。至少撑到晚上吧，嘿嘿。|恭喜你，$name。你这人吧，的确是个少见的死板货，可当船长倒是真有两下子。为这个喝一杯也不亏。|生日快乐，船长！愿你永远不缺火药、黄金、朗姆酒，外加至少一发留给老汤米的备用子弹。|嘿，节日快乐啊，船长。你以后肯定走得很远，我可得在旁边看着。顺便盯着点，免得你被哪个蠢货稀里糊涂给崩了。|恭喜啊，船长。愿好运像我黏着一场好架一样，死死黏在你身上。|生日快乐，$name。我不喜欢那些花里胡哨的场面话，所以直说了：你是真朋友。船长当得也还真不赖，哈哈。|来吧，船长，敬你的健康！活久点，发号施令时硬气点，也别变得太一本正经。船上有一个闷葫芦就已经够了。)}
Dialog_Irons_initial_l1 {$rand(谢谢你，$npcName。我很高兴。|多谢你，$npcName。听你这么说，我很受用。|谢谢你。你的好话很有分量，$npcName。|多谢，$npcName。我是真的很高兴。|谢谢你，$npcName。祝词说得真好。|谢谢。我记着你的这份心意，$npcName。|谢谢你的暖心话，$npcName。|谢谢你，$npcName。真是打从心底里高兴。|谢谢。你能在这儿，我很高兴，$npcName。|多谢你，$npcName。能和自己人一起过这一天，真不错。)}
Dialog_Folke_initial_text {$rand(生日快乐，船长。愿您身体康健、鸿运常在，也愿我们的航向稳稳当当，不被风平浪静或惊涛骇浪带偏。|$name船长，向您致贺。能在您麾下效力，还能重新看见眼前是大海而不是堡垒囚室的铁栏，我他妈真是高兴。|节日快乐，船长。愿您总有一艘结实的船、装满补给的货舱，还有一群在危急时刻不会掉链子的伙伴。|恭喜您，船长。愿您长命百岁、顺风常伴，也愿您少为我这种倒霉又惹事的舵手操心。|生日快乐，船长。愿海面平静，船员吃得饱，值更后的那杯朗姆也够醇。这样的船长，水手们是敬重的。|$name船长，祝您好运。是真正属于海上的好运：暗礁绕着走，海盗追不上，目标海岸总能正正好好出现在航线上。|节日快乐，船长。要不是您，我这会儿多半还在囚室里数石头呢。所以我真心祝您万事顺遂。|恭喜您，船长。愿往后的每一年带给您的不是债务和烦忧，而是胜利、忠诚的朋友，还有能在军官餐厅里讲上好几晚的故事。|生日快乐，船长。您知道，我不擅长说场面话，但有一件事我很肯定：跟着您这样的船长，穿过整个加勒比海我都敢去。|$name船长，节日快乐。愿海神尼普顿庇佑您的船，风保护您的帆，也愿全体船员都明白：有您带领，我们总能到该去的地方。)}
Dialog_Folke_initial_l1 {$rand(谢谢你，$npcName。我很高兴。|多谢你，$npcName。听你这么说，我很受用。|谢谢你。你的好话很有分量，$npcName。|多谢，$npcName。我是真的很高兴。|谢谢你，$npcName。祝词说得真好。|谢谢。我记着你的这份心意，$npcName。|谢谢你的暖心话，$npcName。|谢谢你，$npcName。真是打从心底里高兴。|谢谢。你能在这儿，我很高兴，$npcName。|多谢你，$npcName。能和自己人一起过这一天，真不错。)}
Dialog_Knippel_initial_text {$rand(生日快乐，船长！老查理祝您身体康健、鸿运常在，还愿您有一帮弟兄，哪怕顶着链弹齐射也肯跟着您往前冲。|请接受我的祝贺，先生。若我这辈子还见过比您更值得追随的船长，那就叫我一辈子被链弹轰得叮当作响吧。|节日快乐，$name船长！愿大海待您，比待那些在群岛间瞎晃悠的倒霉鬼们更宽厚些。|向您道贺，先生。愿您身边总有正派人，脚下总有结实甲板，帆里总有顺风。|老天爷的链弹哪，船长，今儿可就是您的大日子！愿您活得长久，活得风光，背后还永远没有那些卑鄙小人。|生日快乐，船长。老查理不擅长说漂亮话，可有一句他说得明白：能为您效力，是天大的荣幸。|向您道贺，先生。愿往后的每一年带给您的不是烦忧，而是胜仗、朋友，还有够在酒馆里说上一晚上的好故事。|$name船长，祝您身体康健，运气长随。要是谁敢坏了您的兴致，您只消开口，查理自会替您收拾他。|节日快乐，船长！愿您的敌人淹死在自己的卑劣里，愿您的朋友们总能找到通往您桌前的路。|生日快乐，先生。对我来说，您不只是个船长。您是那种老查理愿意追随到底的人，哪怕是进风暴，哪怕是闯火海。)}
Dialog_Knippel_initial_l1 {$rand(谢谢你，$npcName。我很高兴。|多谢你，$npcName。听你这么说，我很受用。|谢谢你。你的好话很有分量，$npcName。|多谢，$npcName。我是真的很高兴。|谢谢你，$npcName。祝词说得真好。|谢谢。我记着你的这份心意，$npcName。|谢谢你的暖心话，$npcName。|谢谢你，$npcName。真是打从心底里高兴。|谢谢。你能在这儿，我很高兴，$npcName。|多谢你，$npcName。能和自己人一起过这一天，真不错。)}
Dialog_Tonzag_initial_text {$rand(生日快乐，船长。别指望我说什么漂亮话，但我直说吧：能在您麾下效力，是种荣幸。|$name船长，向您道贺。愿您长命百岁，手稳如磐，身边总有靠得住的人。|节日快乐，船长。愿今天哪怕只这一天，也别见流血、火灾和坏消息。|向您道贺，船长。您是那种让人追随上战场的人，不只是因为命令。这可值千金。|生日快乐，$name。我见过不少船长。但真愿意陪到底的，没几个。您算一个。|船长，请收下我的祝贺。愿您身体康健，头脑清明，身边尽是忠实可靠的人。|节日快乐，船长。愿今天敌人都离远些，朋友都靠近些。|向您道贺，船长。我不擅长说软话，所以就直说了：我很高兴自己站在您这一边。|$name船长，祝您好运。是真正的好运——不是酒馆里吹出来的那种，而是能把人从地狱口拖出来的那种。|生日快乐，船长。请长命百岁。我们之间还有太多事没做完，轮不到命运这么早插手。)}
Dialog_Tonzag_initial_l1 {$rand(谢谢你，$npcName。我很高兴。|多谢你，$npcName。听你这么说，我很受用。|谢谢你。你的好话很有分量，$npcName。|多谢，$npcName。我是真的很高兴。|谢谢你，$npcName。祝词说得真好。|谢谢。我记着你的这份心意，$npcName。|谢谢你的暖心话，$npcName。|谢谢你，$npcName。真是打从心底里高兴。|谢谢。你能在这儿，我很高兴，$npcName。|多谢你，$npcName。能和自己人一起过这一天，真不错。)}
Dialog_Tichingitu_initial_text {$rand(生日快乐，$name船长。提钦吉图祝您心强、眼明、路长。|$name船长，今天是好日子。提钦吉图高兴能在您身边，也祝您很多很多好运。|生日快乐，白人兄弟。提钦吉图记得船长的恩情，愿诸灵护着您的命。|船长，提钦吉图不会漂亮话。提钦吉图只祝您活得长久，不识苦难。|生日快乐，$name船长。愿敌人不敢靠近，朋友永远站在身边。|提钦吉图祝贺您，船长。您的路会难走，但船长指到哪里，提钦吉图就走到哪里。|白人兄弟，今天是您的日子。提钦吉图愿太阳温和地照着您，夜里赐您安稳睡眠。|生日快乐，船长。提钦吉图祝您健康、好运，还有忠心的人在您的船上。|$name船长，提钦吉图高兴为您效力。愿您的命像天边尽头的大水一样长。|提钦吉图祝您幸福，船长。若灾祸来了，提钦吉图会站在您身边，直到最后一口气。)}
Dialog_Tichingitu_initial_l1 {$rand(谢谢你，$npcName。我很高兴。|多谢你，$npcName。听你这么说，我很受用。|谢谢你。你的好话很有分量，$npcName。|多谢，$npcName。我是真的很高兴。|谢谢你，$npcName。祝词说得真好。|谢谢。我记着你的这份心意，$npcName。|谢谢你的暖心话，$npcName。|谢谢你，$npcName。真是打从心底里高兴。|谢谢。你能在这儿，我很高兴，$npcName。|多谢你，$npcName。能和自己人一起过这一天，真不错。)}
Dialog_Mary_initial_text {$rand(生日快乐，$name船长！愿你好运常在，手稳心定，也愿我少几次非得把你从麻烦里拽出来才行，嗯。|恭喜你，船长。愿大海待你温和，船员忠心，敌人也别蠢到往你的刀口上撞。|节日快乐，$name。能和你走在同一条航线上，我很高兴。哪怕这条航线也确实太常直直通向麻烦，嗯。|生日快乐，船长！愿你健康、走运，也愿风总把我们送到该去的地方。|恭喜你，$name。你是个好船长。可别太得意——我照样会盯着你，嗯。|节日快乐，船长。愿今天不用追人，不用开枪，也没人蠢到想来杀我们。)}
Dialog_Mary_initial_l1 {$rand(谢谢你，$npcName。有你在身边，什么路都更有意思。|多谢你，$npcName。我很高兴你和我走在同一条航线上。|谢谢你。既谢谢你的话，也谢谢你总在我身边，$npcName。|我记在心里了，$npcName。尤其是从你嘴里说出来。|谢谢你，$npcName。今天我尽量不惹上什么麻烦。不过我可不敢打包票。|多谢你，$npcName。有你这样的同伴，连风暴都没那么可怕了。)}
Dialog_Mary_fgirl_initial_text {$rand(生日快乐，亲爱的。今天我只想让你哪怕稍微忘掉那些事务，单单陪在我身边，嗯。|恭喜你，我勇敢的船长。愿你每一次都活着回到我身边——别的，我总能自己熬过去。|节日快乐，$name。你知道，我可不是那种安静乖巧的人，但我懂得怎么用整颗心去爱，嗯。|生日快乐，亲爱的。愿大海护着你；若它忘了，我会好好提醒它。|恭喜你，亲爱的。今天是你的日子，我可不会太早放你离开我。别争，嗯。|节日快乐，我的船长。我很高兴命运曾把你带到我身边——哪怕是用最疯的一种法子。)}
Dialog_Mary_fgirl_initial_l1 {$rand(谢谢你，亲爱的。有你在，这一天才真像个节日。|多谢你，$npcName。最要紧的是你就在这里。|谢谢你，亲爱的。听了这样的话，人就更想活着回来了。|我真的很高兴，$npcName。尤其是你这样说的时候。|谢谢你，我那一头红发的小麻烦。有你在，我是绝不会无聊的。|谢谢你，亲爱的。今天我整个人都归你——至少一个船长所能“归谁”的程度，也就这样了。)}
Dialog_Mary_fwife_initial_text {$rand(生日快乐，我亲爱的丈夫。愿你长命百岁，心绪安宁，也永远记得：有我在你身边的地方，就是你的家，嗯。|恭喜你，亲爱的。你是我的船长，我的丈夫，也是这整片海上最倔的男人。可我还是最爱你。|节日快乐，$name。愿你的人生里少些风暴，多些我们能一起迎来的日子。|生日快乐，亲爱的。我想继续与你一起走下去——穿过风暴也好，穿过这整个该死的群岛也好，嗯。|恭喜你，我勇敢的船长。愿你得到的不只是荣耀和好运，还有安宁——哪怕只是在我身边的时候。|生日快乐，我的丈夫。谢谢你成了我的命运。我知道这话听起来太好听了……可这就是真话，嗯。)}
Dialog_Mary_fwife_initial_l1 {$rand(谢谢你，亲爱的。最好的礼物，就是看见你在我身边。|谢谢你，$npcName。有你在，哪怕身处海中央，我也有家。|谢谢你，我的妻子。为了你，我是真心想活得长长久久。|谢谢你，亲爱的。最重要的一切，我已经都拥有了。|谢谢你，$npcName。能和你一起过这辈子，我很幸福。|谢谢你，我亲爱的。有你在，什么风暴都没那么可怕了。)}
Dialog_Helena_initial_text {$rand(生日快乐，我的船长。愿你顺风常伴，脚下甲板坚实，身边还有一支值得信赖的船员队伍。|节日快乐，船长。愿今天的大海比往常对你更温和些，也愿麻烦事至少这一次绕着我们的船走。|$name船长，恭喜你。愿你身体康健、好运常在，也愿你走上一条将来回头时也能坦然面对所有人的航路。|生日快乐，我的船长。你总能把别人从困境里拉出来，那就愿命运今天也多少对你仁慈一点。|恭喜你，船长。愿新的一年带给你更少的烦心事、更多的胜利，再加上几个平静的夜晚——说真的，这些都是你应得的。|节日快乐，$name。能和你走在同一条航线上，我很高兴。)}
Dialog_Helena_initial_l1 {$rand(谢谢你，$npcName。能和你走在同一条航线上，我很高兴。|多谢你，$npcName。你的话听来格外叫人高兴。|谢谢你。知道你就在我身边，感觉很好，$npcName。|你的话我记在心里，$npcName。你的忠诚也是。|谢谢你，$npcName。有你这样的伴侣，再远的路也轻松些。|谢谢你。我会尽力不让你失望，$npcName。)}
Dialog_Helena_fgirl_initial_text {$rand(生日快乐，亲爱的。愿今天整个群岛都先等等，让你至少能有一会儿，只做个单纯快乐的人。|节日快乐，我的船长。我爱你——虽然你有时候倔得真该为了你好把你绑在桅杆上。|生日快乐，$name。愿你好运、健康，也愿你每次都活着回到我身边。其余的，我们总能一起熬过去。|恭喜你，亲爱的。愿今天温暖、平静，只属于我们——没有忧虑，没有命令，也没有门外陌生的声音。|节日快乐，我的船长。对我来说，你早已不只是那个我愿意追随出海的人。是的，我说这话是认真的。|生日快乐，我的爱人。愿大海护着你；若护不住，那就由我来。)}
Dialog_Helena_fgirl_initial_l1 {$rand(谢谢你，亲爱的。你总有本事让这一天变得更温暖。|多谢你，$npcName。最要紧的是你就在这里。|谢谢你，亲爱的。听了这样的话，连风暴都不叫人害怕了。|我真的很高兴，$npcName。真的。|谢谢你。我也想一直活着回到你身边，$npcName。|谢谢你，亲爱的。这一天已经变得更好了。)}
Dialog_Helena_fwife_initial_text {$rand(生日快乐，我亲爱的丈夫。愿你长命百岁，心地澄明，也永远有一个愿意回去的家。|节日快乐，$name。你是我的船长，我的丈夫，也是整个群岛里最倔的男人。可我依然庆幸能在你身边。|生日快乐，亲爱的。愿你的生命里少些风暴，多些光亮，也永远为我们两个人留着位置。|恭喜你，亲爱的。我不知道前面还有什么等着我们，但有一件事我很清楚：无论你往哪里去，我都想与你并肩同行。|节日快乐，我的船长。今天我不祝你荣耀，也不祝你黄金，我只祝你心里平安。别的，我们自己都会挣来。|生日快乐，我的丈夫。谢谢你与我共度这样的生活：有大海，有危险，有倔强——也有爱。若没有爱，这一切连一个铜子都不值。)}
Dialog_Helena_fwife_initial_l1 {$rand(谢谢你，亲爱的。最好的礼物，就是知道你在我身边。|谢谢你，$npcName。有你在，哪怕身处海中央，我也有家。|谢谢你，我的妻子。就凭这样的话，人也该拼着活着回来。|谢谢你，亲爱的。今天我所需要的一切，已经都在我身边了。|谢谢你，$npcName。能和你一起过这辈子，我很幸福。|谢谢你，我亲爱的。有你在，哪一年开头都像是对的。)}
Dialog_Duran_initial_text {$rand(生日快乐，船长。愿您长命百岁，手腕稳当，做成的买卖都既问心无愧，又让钱袋叮当作响。|$name船长，恭喜您。像这样的话我可不是天天免费说的，所以您最好记着：您是个好船长。嘿！|节日快乐，船长。愿今天敌人离得远些，朋友靠得近些，咱们分到的那份战利品也丰厚到让人都不好意思抱怨。|生日快乐，船长。我可不是什么天使，这您知道，可要是为了您，我会二话不说把这条命顶上去。|恭喜您，船长。愿您有好运、有黄金，还有一群不会为了第一袋比索就把您卖掉的人跟在身边。|节日快乐，$name船长。愿每个想挡您路的人，先好好掂量掂量，然后最好还是打消那个念头。|生日快乐，船长。只要您还带着咱们奔着名声和战利品去，我这条命就算是您的……当然，得在合理范围内。嘿！|恭喜您，船长。黄金是一回事，可心甘情愿跟着一个人走又是另一回事。您要走，我就跟。|节日快乐，船长。愿您长命百岁，出手不偏不倚，身边也总有个能替您护住后背的人。|$name船长，生日快乐。我直说了吧：跟着您，既有赚头，又够危险，还他娘的够带劲。我对这份差事，没别的可求了。)}
Dialog_Duran_initial_l1 {$rand(谢谢你，$npcName。我很高兴。|多谢你，$npcName。能从你嘴里听到这些，尤其叫人受用。|谢谢你。这样的话分量很重，$npcName。|多谢你，$npcName。我是真心高兴。|谢谢你，$npcName。祝词说得真不错。|谢谢你。我领你的情，$npcName。|多谢你的暖心话，$npcName。|谢谢你，$npcName。真心的。|谢谢你。有你在身边，我很高兴，$npcName。|多谢你，$npcName。能和自己人一起过这一天，感觉真不错。)}
Node0_a_b {今天本该是个大日子，可你却满心愁苦。从一大早起，没有一句祝福，连半点暗示都没有。所有人都装作什么事也没发生。那种“大家只是把这事忘了”的阴沉念头，让你难过得厉害。$br$red生日是神圣的节日，你不由得沉醉地回想起自己从前在阿斯图里亚斯、在海边家族别墅里是如何庆祝的。$br$red自家葡萄园酿的酒、炸牛奶和血肠，还有乐师与舞者。$br$red而现在，看着这间狭窄的船舱，你只觉得满心疏离。$br$red你刚准备就寝，就听见外头传来一阵动静。甲板吱呀作响，低声耳语四起——这一切都透着不祥，你立刻抄起武器。难道真有人敢发动叛乱？$br$red你决定先发制人，提着刀冲出门去，准备迎头痛击来犯之敌，却只看见一脸惊讶的船员们，以及站在最前头的阿隆索。他们手里捧着花哨包装的盒子和糖点，显然是在上一次停靠时偷偷带上船的。$br$red阿隆索高声向你道贺，还提议玩个小小的游戏——你得猜出三只盒子里，哪一只装着你的礼物。}
Node0_b_a_action {我选小的蓝盒子！}
Node0_b_b_success {阿隆索一本正经地把一只系着鲜红丝带的盒子递给你。它并不算重，可里面却$rand(有什么东西轻轻碰响|有什么东西窸窣滚动|叮当作响，像玻璃碰着玻璃一样)。还隐隐散发着$rand(蜡|干草药|树脂)的气味。$br$red你解开丝带，朝里一看。盒中躺着_$GetItemName($ctx(ItemA))——东西虽简单，却是人手做出来的，这一点就已经很珍贵。旁边整整齐齐地放着_$GetItemName($ctx(ItemB))，而最角落里还藏着几只装着淡绿色液体的小瓶，$rand(被麻绳紧紧绑着|一动就叮铃作响)。那是_$GetItemName($ctx(ItemC))。$br$red阿隆索笑着说，这些全都是专门替你挑的。$br$red你谢过船员们的礼物，也谢过这场有趣的游戏，可事情还没完——你的老水手长宣布，声东击西的花招已经奏效，现在你得上甲板去，因为你的军官们已经在那里等着你了。}
Node0_b_b_success_action {那就开始庆祝吧！}
Node0_b_b_action {中间那个，系红丝带的！}
Node0_b_c_action {大的那只，带斑点的！}
Node0_b_c_success {阿隆索把那只带斑点的大盒子拖到你面前，往桌上一放，神气得仿佛在摆一件战利品。盒子分量不轻，里面$rand(沉沉地滚着什么重东西|有什么东西在刮擦木板|有什么东西撞着盒壁)。这种包装，想猜错都难。$br$red你一把扯开包装纸，掀开盖子。里面躺着_$GetItemName($ctx(ItemA))——一件惹眼又体面的东西，拿到手里都让人不由自主挺直腰杆。旁边放着_$GetItemName($ctx(ItemB))：上好的硬货，结实趁手，握着就让人喜欢。$br$red阿隆索满意地点点头，仿佛你一猜就中。$br$red你谢过船员们的礼物，也谢过这场有趣的游戏，可事情还没完——你的老水手长宣布，声东击西的花招已经奏效，现在你得上甲板去，因为你的军官们已经在那里等着你了。}
Node0_b_c_success_action {我还以为你们都忘了！}
Node0_a_c {今天本该是个大日子，可你却满心愁苦。从一大早起，没有一句祝福，连半点暗示都没有。所有人都装作什么事也没发生。那种“大家只是把这事忘了”的阴沉念头，让你难过得厉害。$br$red生日是神圣的节日，你不由得沉醉地回想起自己从前在苏格兰是如何庆祝的。$br$red祖传庄园里总是宾客盈门，桌上摆满了丰盛佳肴。$br$red而现在，看着这间狭窄的船舱，你只觉得满心疏离。$br$red你刚准备就寝，就听见外头传来一阵动静。甲板吱呀作响，低声耳语四起——这一切都透着不祥，你立刻抄起武器。难道真有人敢发动叛乱？$br$red你决定先发制人，提着刀冲出门去，准备迎头痛击来犯之敌，却只看见一脸惊讶的船员们，以及站在最前头的阿隆索。他们手里捧着花哨包装的盒子和糖点，显然是在上一次停靠时偷偷带上船的。$br$red阿隆索高声向你道贺，还提议玩个小小的游戏——你得猜出三只盒子里，哪一只装着你的礼物。}
Node0_c_a_action {我选小的蓝盒子！}
Node0_c_a_success {阿隆索朝你心照不宣地眨了眨眼，把盒子递给你。它沉甸甸的，里面有什么东西叮当作响、来回滚动。看样子，你猜对了。$br$red你迫不及待地撕开包装纸，只见里面竟是一大堆宝石——那光泽与流彩，也只有_$GetItemName($ctx(ItemA))才有这般模样，旁边还放着一个气味古怪的小包。阿隆索说，那是_$GetItemName($ctx(ItemB))。$br$red你谢过船员们的礼物，也谢过这场有趣的游戏，可事情还没完——你的老水手长宣布，声东击西的花招已经奏效，现在你得上甲板去，因为你的军官们已经在那里等着你了。}
Node0_c_a_success_action {你们还记得，真好！}
Node0_c_b_action {中间那个，系红丝带的！}
Node0_c_b_success {阿隆索一本正经地把一只系着鲜红丝带的盒子递给你。它并不算重，可里面却$rand(有什么东西轻轻碰响|有什么东西窸窣滚动|叮当作响，像玻璃碰着玻璃一样)。还隐隐散发着$rand(蜡|干草药|树脂)的气味。$br$red你解开丝带，朝里一看。盒中躺着_$GetItemName($ctx(ItemA))——东西虽简单，却是人手做出来的，这一点就已经很珍贵。旁边整整齐齐地放着_$GetItemName($ctx(ItemB))，而最角落里还藏着几只装着淡绿色液体的小瓶，$rand(被麻绳紧紧绑着|一动就叮铃作响)。那是_$GetItemName($ctx(ItemC))。$br$red阿隆索笑着说，这些全都是专门替你挑的。$br$red你谢过船员们的礼物，也谢过这场有趣的游戏，可事情还没完——你的老水手长宣布，声东击西的花招已经奏效，现在你得上甲板去，因为你的军官们已经在那里等着你了。}
Node0_c_b_success_action {那就开始庆祝吧！}
Node0_c_c_action {大的那只，带斑点的！}
