Node0_title {被迫停泊}
Node0_a_b_fail_action {真正的噩梦}
Node0_a_c_action {拿珠宝跟他们交换}
Node0_a_c_success {你慢慢把手伸进包里，掏出一把专为这种场面随身带着的小饰物。小镜子、浮雕饰针、戒指和手镯在阳光下躺在你掌心里，闪闪发亮。$br$red你把这些值钱玩意儿放到地上，后退一步，表示这是献礼。印第安人低声交谈起来，随后其中一人走上前来。$br$red你的礼物很快就在他们手里传来传去，弓也放低了，紧张的气氛随之散去。那个涂彩最艳丽的印第安人打了个手势，土著们便让开道路。你带着人和水离开，用一把小玩意儿买回了自己的命。}
Node0_a_c_success_action {一个有用的习惯}
Node0_MissingTreasures {得用首饰和镜子……}
Node0_a_b {$key($ctx(islandName)Gen)附近的天气$rand(变幻无常|说翻脸就翻脸)——方才还是晴空万里，转眼暴风雨便扑向你的船只，$rand(撕扯索具，鼓满船帆|扯裂索具，吹胀船帆)。巨浪$rand(把你抛向礁石|将你拖向礁石)，你拼尽全力操船周旋。$br$red眼看就要靠岸，船体却在吃水线下方撞开了一道破口。货舱进水，海水$rand(从四面八方涌来|到处都在往里灌)。你下令$rand(把水往外舀，并用船上一切能找到的东西堵住破口|拼命排水，再拿手边一切能用的东西去堵那道口子)，只求$rand(撑到不远处那座能救命的海湾|设法挨到旁边那处平静的海湾)。$br$red暴风雨里把船拖上岸修理，本就是拿命在赌，可你别无选择。等船被拖上滩头检查后，很快就明白你们得在这里待上一阵子——得先堵住破口，再$rand(熬出沥青，把船壳重新填缝封好|烧制沥青，把船舷重新填缝堵严)。$br$red就在这时，局势变得更糟：一队全副武装的人从丛林里钻了出来。他们声称亲眼看见了你们的失事，还说想在他们的海湾里修船，就得付钱。}
Node0_b_a_action {用火枪回敬他们}
Node0_b_a_success {你决定不向这帮敲诈者低头。船和船员虽处境脆弱，却还没到绝境，于是你命水手们假装准备赎金，自己则暗中向接舷队打出手势。$br$red当那群“海湾主人”走近时，你突然下令以火器开火。顷刻间爆发了一场血腥混战，但出其不意这一点站在你这边。$br$red等战斗平息下来，你开始清点伤亡。}
Node0_b_a_success_action {本来可能比这惨得多}
Node0_b_a_fail {你表面上答应交赎金，暗地里却试图向接舷队打出暗号。这一幕被海湾的主人们看见了，他们立刻举起武器。紧张局势瞬间绷到极点，你的火枪手随即开火。$br$red一场血腥的枪战就此爆发，双方都伤亡惨重。最终，那帮敲诈者退回了丛林深处。}
Node0_b_a_fail_action {现在不是悼念死者的时候}
Node0_b_b_action {向敲诈低头}
Node0_b_b_success {你判断眼下的处境太过危险，于是决定交钱息事。船员们凑出一箱银币交给那帮敲诈者，随后他们便退回了丛林。$br$red你保住了船员们的性命，可似乎没能保住他们对你的敬意。}
Node0_b_b_success_action {这都是为了你们好}
Node0_b_c_action {向头目提出决斗}
Node0_b_c_success {你宣称，在你处于这般不利境地时还出言威胁，已然是对你尊严的侮辱。你将手套掷在地上，要求决斗雪耻。海湾的主人们一时间愣住了，而你又故意笨拙地拔出兵刃，进一步把这出戏做足。$br$red那伙敲诈者的头目果然上了钩，在同伴的哄笑声中，以夸张而嘲弄的姿态接受了你的挑战。$br$red对手只一步踏错，就足够让你抢回主动，并以一记精准的刺击结束他的性命。其余人还没回过神来，你的接舷队便已将敌人团团围住。在这样的压迫下，敲诈者们的胆气很快崩溃，纷纷退回丛林。}
Node0_b_c_success_action {这就是我们的手段}
Node0_a_c {$key($ctx(islandName)Gen)海域的天气骤然变坏。狂风掀起海浪，推高一道道巨浪。你没来得及让船身横过浪脊，下一道浪墙便以可怕的力量狠狠砸上船尾。$br$red舵猛地被扯向一侧，舵柄也被拧裂折断——船失去了操控。前方有一处天然避风港，水面平静，你只得靠调整风帆，勉强把船往那边带。$br$red等你靠近后才发现，这座海湾早已有人占了——锚地里泊着一艘_$key($nationI($ctx(enemyNation))AdjRoot)$rand(双桅横帆船|轻巡护卫舰|大帆船)，岸上还扎着营地。}
Node0_c_a_action {我们无意挑事}
Node0_c_a_success {你下令升起白旗，并打出请求靠近的信号。为防海水倒灌，你们本就关着炮门，这让你的船看起来更谈不上什么威胁。$br$red^那艘$key($nationI($ctx(enemyNation))AdjRoot)船直到最后一刻才有反应，而等你已经靠到再也无法回头时，对方才终于打出允许接近的答复。$br$red你赶忙靠岸，着手修船。那艘_$key($nationI($ctx(enemyNation))AdjRoot)船上的人似乎压根懒得理会你们。}
Node0_c_a_success_action {那就再好不过了}
Node0_c_a_fail {你试图让那艘$key($nationI($ctx(enemyNation))AdjRoot)船相信你并无敌意，可白旗并没能打动他们。对方开始备战，而你在最后关头勉强改了航向，从海湾外擦了过去。$br$red他们朝你身后打出一轮零乱的舷炮，你也从上层甲板以稀稀拉拉的火力回击。$br$red你损失了几个好水手，还得花上许多时间去找另一处可以修船的海湾。}
Node0_c_a_fail_action {你们这帮该死的}
Node0_c_b_action {先下手为强}
Node0_c_b_success {你没有等那艘$key($nationI($ctx(enemyNation))AdjRoot)船先开火，而是下令先发制人。所有火炮同时轰出的突袭齐射打得敌人措手不及，紧接着你又朝岸上打出整齐的火枪齐射。$br$red^$key($nationI($ctx(enemyNation))AdjRoot)水手顶不住这股猛劲。经过一场短促而残酷的厮杀，他们退进灌木丛，把海岸让给了你。海湾暂时安全下来，船员们便能着手修理。}
Node0_c_b_success_action {胜了！}
Node0_c_c_action {撞上去}
Node0_c_c_success {你决定不等敌人先动手，而是直接把船撞向他们，同时准备接舷。$br$red撞击声与木头断裂声，很快就被枪炮轰鸣吞没。你投入一场惨烈厮杀，损失极其惨重，但敌人更惨。$br$red最终，_$key($nationI($ctx(enemyNation))AdjRoot)船的船员顶不住你的猛攻，退入丛林，把船扔在原地。你拆用他们残存的船体，来修自己的船。}
Node0_c_c_success_action {船只自相残食？}
