info
{
附加组件SLiB的通用英雄创建器    脚本由ALexusB创建 09.10.04    文件路径 \RESOURCE\INI\TEXTS\RUSSIAN\HeroDescribe.txt        版本 02.07.06    hero_qty - 英雄数量    ps_hero_qty - 伪英雄数量 (在游戏中可能作为任务角色出现, 在P&P中仅选择男性角色)    heroName_Х        - 英雄名字    heroLastname_Х    - 英雄姓氏    heroNameGen_ и heroLastnameGen_ - 属格形式,    heroLastnameDat_  - 与格形式。     heroFace_Х        - 肖像编号    heroModel_Х       - 用逗号分隔的模型列表 (无空格), 可能少于完整列表, 此时将采用第一个            (无装甲。 轻型。 中型。 酷炫。 金色。 服装_1. 服装_2. 服装_3)    heroType_Х        - 英雄类型 (影响初始属性)        取值仅限:Corsair, Merchant, Adventurer或 (俄语版本)海盗,商人,冒险家    heroNation_Х      - 英雄起始国家 (中立关系)        取值仅限:ENGLAND, FRANCE, SPAIN, HOLLAND            或 (俄语版本)英国            法国            西班牙            荷兰    sex_X             - 性别 (man, woman, skeleton)    animation_X       - 动画 (man, woman, towngirl)    hero_Х            - 英雄简短传记 (不超过5-7行, 以便放入文本字段)    Х - 列表中英雄的序号        资源位置:    肖像纹理 \RESOURCE\Textures\INTERFACES\PORTRAITS  (64, 128, 256)    皮肤纹理          \RESOURCE\Textures\Characters    模型             \RESOURCE\MODELS\Characters    头部模型          \RESOURCE\MODELS\Heads    头部动画          \RESOURCE\animation\Heads 和 \RESOURCE\animation\Heads\AN        请务必在编辑前保存原始文件, 否则可能无法安装更新。     安装前请将其放回原位, 安装更新后, 请重新设置您的英雄 (们).         _______________               谨此致意, ALexusB
}
Merchant {对于那些敢于在加勒比群岛水域从 事贸易的人来说, 这里充斥着私掠者、 海盗和各类劫匪, 他们不仅需要跟踪各岛价格以获取 最大利润, 还必须学会紧握匕首, 才能保住这些财富。}
Corsair {海盗是强盗还是浪漫主义者? 这取决于您如何塑造主角。 但有些品质是成为海盗不可或缺的 :无畏、 坚韧和快速决策的能力。 勇敢前行吧。}
Adventurer {冒险- 这才是自由冒险家的真正生活。 如果在追寻冒险的同时还能获得可 观的收益, 那为何不充分利用呢?}
hero_qty {5}
hero_3 {这位年轻贵族本怀着公平贸易的崇 高理想, 希望造福国家并充实自己的钱包, 但残酷的现实击碎了他的梦想。 他不得不获取私掠许可证, 用大炮和刀剑开辟繁荣之路, 忘却旧世界的傲慢做派...}
heroName_4 {Helen}
heroLastname_4 {McArthur}
heroNameGen_4 {Helen}
heroLastnameGen_4 {McArthur}
heroNameDat_4 {Helen}
heroLastNameDat_4 {McArthur}
heroFace_4 {250}
heroModel_4 {Rumba}
heroType_4 {Корсар}
heroNation_4 {Береговое братство}
sex_4 {woman}
animation_4 {rumba}
hero_4 {年轻的海盗, “森林恶魔”- 海岸兄弟会男爵的门徒。 然而, 男爵向她隐瞒了真正海盗的残酷现 实和他们可能犯下的暴行。 对海伦而言, 海盗生涯充满浪漫、 小规模走私、 自由... 以及她心爱的武装纵帆船“Rainbow”的甲板。}
heroName_5 {Джессика}
heroLastname_5 {Брэдфорд}
heroNameGen_5 {Джессики}
heroLastnameGen_5 {Брэдфорд}
heroNameDat_5 {Джессике}
heroLastNameDat_5 {Брэдфорд}
heroFace_5 {244}
heroModel_5 {jessika}
heroType_5 {Корсар}
heroNation_5 {Англия}
sex_5 {woman}
animation_5 {Jessika}
hero_5 {在遭到贝尔特罗普的背叛后, 她发誓绝不逊色于男性, 并要成为成功的海盗舰队船长。 不得不说, 她做得相当出色, 许多国家的政府已为她那颗美丽的 头颅悬赏。}
heroName_6 {Ингасио}
heroLastname_6 {Марко}
heroNameGen_6 {Ингасио}
heroLastnameGen_6 {Марко}
heroNameDat_6 {Ингасио}
heroLastNameDat_6 {Марко}
heroFace_6 {212}
heroModel_6 {Chard2}
heroType_6 {Авантюрист}
heroNation_6 {Испания}
sex_6 {man}
animation_6 {man}
hero_6 {P&P角色}
heroName_7 {Горацио}
heroLastname_7 {Хорнблауэр}
heroNameGen_7 {Горацио}
heroLastnameGen_7 {Хорнблауэра}
heroNameDat_7 {Горацио}
heroLastNameDat_7 {Хорнблауэру}
heroFace_7 {220}
heroModel_7 {Youngman}
heroType_7 {Авантюрист}
heroNation_7 {Англия}
sex_7 {man}
animation_7 {man}
hero_7 {P&P角色}
heroName_8 {Джон}
heroLastname_8 {Истерлинг}
heroNameGen_8 {Джона}
heroLastnameGen_8 {Истерлинга}
heroNameDat_8 {Джону}
heroLastNameDat_8 {Истерлингу}
heroFace_8 {216}
heroModel_8 {Isterling}
heroType_8 {Авантюрист}
heroNation_8 {Англия}
sex_8 {man}
animation_8 {man}
hero_8 {P&P角色}
heroName_9 {Санчос}
heroLastname_9 {Эстебан}
heroNameGen_9 {Санчоса}
heroLastnameGen_9 {Эстебана}
heroNameDat_9 {Санчосу}
heroLastnameDat_9 {Эстебану}
heroFace_9 {30}
heroModel_9 {officer_13}
heroType_9 {Авантюрист}
heroNation_9 {Испания}
sex_9 {man}
animation_9 {man}
hero_9 {P&P角色}
heroName_10 {Керк}
heroLastname_10 {Зандер}
heroNameGen_10 {Керка}
heroLastnameGen_10 {Зандера}
heroNameDat_10 {Керку}
heroLastnameDat_10 {Зандеру}
heroFace_10 {31}
heroModel_10 {officer_14}
heroType_10 {Авантюрист}
heroNation_10 {Голландия}
sex_10 {man}
animation_10 {man}
hero_10 {P&P角色}
heroName_11 {Альфонсо}
heroLastname_11 {Сальваторе}
heroNameGen_11 {Альфонсо}
heroLastnameGen_11 {Сальваторе}
heroNameDat_11 {Альфонсо}
heroLastnameDat_11 {Сальваторe}
heroFace_11 {32}
heroModel_11 {officer_15}
heroType_11 {Авантюрист}
heroNation_11 {Испания}
sex_11 {man}
animation_11 {man}
hero_11 {P&P角色}
heroName_12 {Делвин}
heroNameGen_12 {Делвина}
heroNameDat_12 {Делвину}
heroLastname_12 {Блэйз}
heroLastnameGen_12 {Блэйза}
heroLastNameDat_12 {Блэйзу}
heroFace_12 {1}
heroModel_12 {Devlin}
heroType_12 {Торговец}
heroNation_12 {Голландия}
sex_12 {man}
animation_12 {man}
hero_12 {P&P角色}
heroName_13 {Джон}
heroLastname_13 {Сильвер}
heroNameGen_13 {Джона}
heroLastnameGen_13 {Сильвера}
heroNameDat_13 {Джону}
heroLastNameDat_13 {Сильверу}
heroFace_13 {22}
heroModel_13 {officer_5}
heroType_13 {Корсар}
heroNation_13 {Англия}
sex_13 {man}
animation_13 {man}
hero_13 {P&P角色}
heroName_14 {Франциск}
heroLastname_14 {Дюбуа}
heroNameGen_14 {Франциска}
heroLastnameGen_14 {Дюбуа}
heroNameDat_14 {Франциску}
heroLastNameDat_14 {Дюбуа}
heroFace_14 {24}
heroModel_14 {officer_7}
heroType_14 {Авантюрист}
heroNation_14 {Франция}
sex_14 {man}
animation_14 {man}
hero_14 {P&P角色}
heroName_15 {Артур}
heroLastname_15 {Корнел}
heroNameGen_15 {Артура}
heroLastnameGen_15 {Корнела}
heroNameDat_15 {Артуру}
heroLastNameDat_15 {Корнелу}
heroFace_15 {25}
heroModel_15 {officer_8}
heroType_15 {Авантюрист}
heroNation_15 {Англия}
sex_15 {man}
animation_15 {man}
hero_15 {P&P角色}
heroName_16 {Марк}
heroLastname_16 {Вандерборг}
heroNameGen_16 {Марка}
heroLastnameGen_16 {Вандерборга}
heroNameDat_16 {Марку}
heroLastNameDat_16 {Вандерборгу}
heroFace_16 {27}
heroModel_16 {officer_10}
heroType_16 {Авантюрист}
heroNation_16 {Голландия}
sex_16 {man}
animation_16 {man}
hero_16 {P&P角色}
heroName_17 {Сесил}
heroLastname_17 {Форестер}
heroNameGen_17 {Сесила}
heroLastnameGen_17 {Форестера}
heroNameDat_17 {Сесилу}
heroLastNameDat_17 {Форестеру}
heroFace_17 {28}
heroModel_17 {officer_11}
heroType_17 {Авантюрист}
heroNation_17 {Англия}
sex_17 {man}
animation_17 {man}
hero_17 {P&P角色}
heroName_18 {Хосе}
heroLastname_18 {Даско}
heroNameGen_18 {Хосе}
heroLastnameGen_18 {Даско}
heroNameDat_18 {Хосе}
heroLastNameDat_18 {Даско}
heroFace_18 {26}
heroModel_18 {officer_9}
heroType_18 {Авантюрист}
heroNation_18 {Испания}
sex_18 {man}
animation_18 {man}
hero_18 {P&P角色}
heroName_19 {Йохан}
heroLastname_19 {Даринг}
heroNameGen_19 {Йохана}
heroLastnameGen_19 {Даринга}
heroNameDat_19 {Йохану}
heroLastNameDat_19 {Дарингу}
heroFace_19 {213}
heroModel_19 {Chard3}
heroType_19 {Авантюрист}
heroNation_19 {Голландия}
sex_19 {man}
animation_19 {man}
hero_19 {P&P角色}
heroName_20 {Майкл}
heroLastname_20 {Чард}
heroNameGen_20 {Майкла}
heroLastnameGen_20 {Чарда}
heroNameDat_20 {Майклу}
heroLastNameDat_20 {Чарду}
heroFace_20 {211}
heroModel_20 {Chard}
heroType_20 {Авантюрист}
heroNation_20 {Англия}
sex_20 {man}
animation_20 {man}
hero_20 {P&P角色}
