Abilities {キャラクター}
ChrTurnHL {キャラクターを左に回転}
ChrTurnHR {キャラクターを右回転}
ChrTurnV {キャラクター移動}
DeckCamera_Backward {戻る（デッキビュー）}
DeckCamera_Forward {前方（デッキビュー）}
DeckCamera_Left {左へストレイフ（デッキビュー）}
DeckCamera_Right {右にストレイフ（デッキ視点）}
DeckCamera_Turn_H {カメラ水平回転（デッキビュー）}
DeckCamera_Turn_V {垂直カメラ回転（デッキビュー）}
DialogControls {ダイアログ}
DlgAction {会話での返答選択}
DlgAction1 {会話での返答選択}
DlgDown {次の応答へ}
DlgScrollDown {ダイアログを上にスクロール}
DlgScrollUp {ダイアログを下にスクロール}
DlgUp {前の返答に戻る}
Dolly {マヤの偶像を起動}
Fast_bank {高速移動：高利貸し}
Fast_brothel {高速移動：売春宿}
Fast_church {ファストトラベル：教会}
Fast_port {ファストトラベル：港}
Fast_portoffice {高速移動：港湾管理}
Fast_prison {ファストトラベル：牢獄}
Fast_shipyard {ファストトラベル：造船所}
Fast_store {ファストトラベル：店}
Fast_tavern {ファストトラベル：酒場}
Fast_townhall {ファストトラベル：役所}
FightModeControls {戦闘モード}
FireCamera_Set {照準モード}
FireMode_Direct {射撃順 - 艦首から艦尾へ}
FireMode_Random {射撃順 - 自由}
FireMode_Reverse {射撃順 - 艦尾から艦首へ}
FLT_LoadBalls {艦隊指令：砲弾を装填せよ}
FLT_LoadBombs {艦隊指令：砲に手榴弾を装填せよ}
FLT_LoadChain {艦隊指令： チェーンショットを装填せよ}
FLT_LoadGrapes {艦隊指令：砲に散弾を装填せよ}
FLT_LowerSails {艦隊指令：帆を下げよ}
FLT_ProtFlagship {艦隊指令：旗艦を護衛}
FLT_SailAway {艦隊指令：退避}
FreeCam {フリーカメラ}
Help {ゲームヘルプ}
HelpChooser {ヘルプトピックを選択}
HelpChooser_Action {現在の要素のヘルプを表示}
HelpChooser_Cancel {ヘルプを終了}
HelpChooser_Down {下（ヘルプモード中）}
HelpChooser_Left {左（ヘルプモード中）}
HelpChooser_Next {次のヘルプ要素}
HelpChooser_Prev {前のヘルプ要素}
HelpChooser_Right {右（ヘルプモード中）}
HelpChooser_Up {上へ（ヘルプモード中）}
HK_bullet {弾丸を装填（修正）}
hk_Cabin {船長室}
HK_cartridge {紙薬包を装填（修正）}
hk_charge1 {ラウンド弾を装填}
hk_charge2 {散弾を装填}
hk_charge3 {チェーンショットを装填}
hk_charge4 {爆弾を装填}
hk_Cure {治癒薬を使う}
HK_FencingH {重装武器を装備}
HK_FencingL {軽装武器を装備}
HK_FencingS {中装武器を装備}
HK_grapeshot {バックショットを装填 (修飾)}
HK_grenade {グレネードを装填（修正）}
HK_GunEchin {ハリネズミ弾を装填（修正）}
HK_harpoon {矢を装填（修飾）}
hk_ImmediateReload {即時リロード}
hk_FireMode {射撃モードを変更}
hk_InstantRepair {修理}
hk_LightRepair {緊急修理}
hk_Mine {機雷を発射}
HK_Musket {長銃を装備}
hk_Rush {「フューリー」アビリティを使用}
hk_SandbankManeuver {座礁回避操船を有効化}
hk_Turn180 {転回}
Interface {キャラクターメニュー}
InterfaceTakeAll {すべて取る}
Inventory {インベントリ}
LI_Fast_bank {銀行}
LI_Fast_brothel {売春宿}
LI_Fast_church {教会}
LI_Fast_port {港}
LI_Fast_portoffice {港湾事務所}
LI_Fast_prison {牢獄}
LI_Fast_shipyard {造船所}
LI_Fast_store {ストア}
LI_Fast_tavern {酒場}
LI_Fast_townhall {タウンホール}
LICommandsActivate {コマンドメニューを開く}
MainInterface {インターフェース操作}
MainMenu {メインメニュー}
MainMenuDouble {メインメニュー}
MapView {地図}
MiniMapZoomIn {ミニマップを拡大}
MiniMapZoomOut {ミニマップを縮小}
Nations {国家}
newLine
{

}
OfficersCharge {士官への命令：自由戦闘}
OfficersFollow {士官への命令：追従}
OfficersHold {士官への命令：その場を維持}
PotionChanger {回復薬を切り替え}
PrimaryLand {陸上での操作}
QuestBook {航海日誌}
Sailing1Pers {一人称視点の海}
Sailing3Pers {三人称視点・海}
Sea_CameraSwitch {艦船カメラモード}
Ship_Fire {撃て！}
Ship_SailDown {帆を下ろす}
Ship_SailUp {帆を上げる}
Ship_TurnLeft {船を左に回す}
Ship_TurnRight {右に旋回}
ShipCamera_Backward {ズームアウト}
ShipCamera_Forward {ズームイン}
ShipCamera_Turn_H {船を追従するカメラの水平移動}
ShipCamera_Turn_V {船を追うカメラの垂直移動}
ShipState {艦隊}
SwitchCameraOffset {カメラ視点}
TelescopeMode {望遠鏡を切り替え}
TelescopeZoomIn {望遠鏡（ズームイン）}
TelescopeZoomOut {望遠鏡（ズームアウト）}
TimeScale {時間の加速／減速}
TimeScaleFasterBA {時間加速}
TimeScaleOff {加速を無効にする}
TimeScaleOn {時間を早送り}
TimeScaleSlowerBA {時間減速}
Ultimate_potion {インディアンの薬を飲む}
UseAntidote {解毒剤を使う}
WMapBackward {カメラをズームアウト}
WMapCameraRotate {カメラ滑空／回転モードオン}
WMapCameraSwitch {表示モード切替}
WMapCancel {マップから海へ出る}
WMapDrawCircle {交戦エリア}
WMapForward {カメラをズームイン}
WMapShipSailDown {後退}
WMapShipSailUp {前進}
WMapShipTurnLeft {左に曲がる}
WMapShipTurnRight {右に曲がる}
WMapTurnH {マップモードで船の周囲をカメラ回転}
WMapTurnV {カメラの高さ（マップモード）}
WorldMapControls {ワールドマップ}
Rest {休息}
